dbms,sf,query_id,threads,repetitions,mean_wall_s,median_wall_s,p95_wall_s,p99_wall_s,mean_throughput_qps,median_throughput_qps,total_success,total_errors,cache_before_failures,cache_after_failures,wall_speedup,throughput_speedup,efficiency,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,4,16,5,10.949062869599947,10.972704350999264,11.00637369840042,11.00953500048039,1.461353631961804,1.4581637751447214,80,0,0,0,0.8055747424274856,12.888608627081009,0.8055380391925631,80.0,10.85580444708753,10.876348929000415,10.942766750650298,10.95852983817942,0.07582409426579916,10.641331810000338,10.977674980998929,5.0
mysql,1.0,5,1,5,12.538190166799541,11.891368908000004,15.037893373198676,15.546962651438589,0.08094423169046187,0.0840946074196085,5,0,0,0,1.0,1.0,1.0,5.0,12.526522887399915,11.879797645999131,15.026353507800376,15.535459285560355,1.8240034763217687,11.123342933000458,15.66273573000035,5.0
mysql,1.0,5,4,5,13.00564015380005,12.972427569999128,13.228407850400616,13.278056762080595,0.3076008271298175,0.3083462966677616,20,0,0,0,0.964057902458271,3.8001574751627905,0.9500393687906976,20.0,12.984326334600246,12.951996240999506,13.268761499399897,13.270370455880894,0.15673728023257671,12.806238532999489,13.270772695001142,5.0
mysql,1.0,5,8,5,12.746233980000397,12.822666805001065,12.911037262401077,12.928571362881339,0.6277639495531476,0.6238951788780678,40,0,0,0,0.9836780170890249,7.755511868390749,0.9694389835488436,40.0,12.707604507925089,12.779119050499503,12.894715545900999,12.906555569100238,0.18274631397440552,12.35889525300081,12.907619999999952,5.0
mysql,1.0,5,16,5,13.66104368160013,13.59597842400035,13.830718309599979,13.838260775519958,1.1713186773993787,1.176818578334601,80,0,0,0,0.9178061690621088,14.470687446618903,0.9044179654136815,80.0,13.571072318874917,13.512648842500312,13.769669482299651,13.793301494778898,0.1427955523868503,13.33610216299894,13.80435179199958,5.0
mysql,1.0,6,1,5,11.505633397000201,11.446169996999744,11.78678995980117,11.81546115436118,0.08694045285724862,0.0873654681227099,5,0,0,0,1.0,1.0,1.0,5.0,11.49389121799977,11.434439310000016,11.77495674919992,11.803528524239809,0.22549613845439748,11.263072768999336,11.810671467999782,1.0
mysql,1.0,6,4,5,13.320931060800286,13.236939991000328,13.61459682700006,13.674081616600015,0.30034006863086143,0.3021846440884043,20,0,0,0,0.8637259170913368,3.4545491627931026,0.8636372906982757,20.0,13.299837202550043,13.217039836999902,13.668829123050546,13.66942370221028,0.1962901252466999,13.137283658999875,13.669572347000212,1.0
mysql,1.0,6,8,5,14.272821715599639,14.304064915999334,14.605696357800117,14.63009705556011,0.5607090361016818,0.5592815781374053,40,0,0,0,0.8061218465599547,6.449345703574086,0.8061682129467608,40.0,14.234420999574786,14.265194561000499,14.601940134900634,14.608775488930315,0.2749437603146233,13.862441002000196,14.609635639000771,1.0
mysql,1.0,6,16,5,16.97533508880042,16.98036907400092,17.025767202000132,17.0304777604001,0.9425492559953106,0.9422645603444516,80,0,0,0,0.6777853477891645,10.841319834656531,0.6775824896660332,80.0,16.89287861025007,16.89163699149958,16.96706880825086,16.985248702770058,0.047702178321437215,16.785148810000464,16.992719524998392,1.0
mysql,1.0,7,1,5,21.837439388400163,21.677320478000183,22.559120022999924,22.67864528219994,0.0458145516685381,0.0461311627982285,5,0,0,0,1.0,1.0,1.0,5.0,21.825895849000517,21.665646827001183,22.54740561059989,22.666860476519723,0.53578255627538,21.3954931390017,22.69672419299968,4.0
mysql,1.0,7,4,5,23.785097971399956,23.697230816998854,24.052481110400187,24.068537482080067,0.1681843874613388,0.1687960939778102,20,0,0,0,0.9181143342212957,3.670981846076535,0.9177454615191337,20.0,23.762402620399733,23.675128385499193,24.050053183999175,24.05099410959925,0.204939638196052,23.56392129699998,24.05122934099927,4.0
