dbms,sf,query_id,duration_seconds,threads,repetitions,mean_wall_s,total_executions,total_success,total_errors,mean_throughput_qps,median_throughput_qps,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,1,120,1,1,121.73177412299992,6,6,0,0.0492886926459931,0.0492886926459931,6.0,20.255210179832527,20.234622371499427,20.50597603300048,20.570546507401012,0.17804049831414437,20.071017719998054,20.586689126001147,4.0
mysql,1.0,2,120,1,1,120.04313511699728,1055,1055,0,8.788507555819567,8.788507555819567,1055.0,0.08320043827205675,0.0824651000002631,0.08385778109877713,0.08925995140110896,0.01911145045714598,0.0810910569998668,0.702317450002738,446.0
mysql,1.0,3,120,1,1,154.89499110100223,2,2,0,0.0129119733684342,0.0129119733684342,2.0,77.41417982650091,77.41417982650091,78.70420916755029,78.81887844231024,2.027085544412505,75.9808138920016,78.84754576100022,11694.0
mysql,1.0,4,120,1,1,128.63463112599857,13,13,0,0.1010614317948827,0.1010614317948827,13.0,9.861061029384123,9.77506304200142,10.248110910798278,10.332690394159142,0.23465487032432913,9.619162905997657,10.35383526499936,5.0
mysql,1.0,5,120,1,1,121.45440507800232,9,9,0,0.0741018820537623,0.0741018820537623,9.0,13.460777861444512,12.617872042003,16.802782630200088,17.452006998838915,1.9509098988704998,11.958771498000717,17.61431309099862,5.0
mysql,1.0,6,120,1,1,122.97839540900168,10,10,0,0.0813150957673662,0.0813150957673662,10.0,12.264095782899313,12.1955649119991,12.619507234299636,12.661352174860767,0.2313779410066987,11.910530998997274,12.67181341000105,1.0
mysql,1.0,7,120,1,1,141.86194804400293,6,6,0,0.0422946398433702,0.0422946398433702,6.0,23.607967874166814,23.398065525499987,24.59172755599957,24.782882159199108,0.6823753360119176,22.84807908500079,24.830670809998992,4.0
mysql,1.0,8,120,1,1,145.20668443999966,3,3,0,0.0206602059097328,0.0206602059097328,3.0,48.3660950133332,46.56921699300074,59.99273200319912,61.18593333743898,12.31838615404084,37.044834375999926,61.48423367099895,2.0
mysql,1.0,9,120,1,1,232.90201447900108,2,2,0,0.0085873022802055,0.0085873022802055,2.0,116.41306466150127,116.41306466150127,117.61321126625153,117.71989096445155,1.8858484503042696,115.07956843400098,117.74656088900156,175.0
mysql,1.0,10,120,1,1,132.535913574,10,10,0,0.0754512473663722,0.0754512473663722,10.0,13.204007980299139,12.984009148998666,15.096208445848422,15.633443360369093,1.0590881452194858,12.360325027999352,15.76775208899926,38263.0
mysql,1.0,11,120,1,1,120.5895751049975,62,62,0,0.5141406290387583,0.5141406290387583,62.0,1.9107715690966987,1.505652548497892,4.436559242548536,7.450001002630597,1.2870345857011072,1.416709996999998,7.903952520999155,979.0
mysql,1.0,12,120,1,1,128.8869230900018,8,8,0,0.0620699122005852,0.0620699122005852,8.0,16.07586928412502,15.997317299499628,16.356991861352252,16.37725528747291,0.18478473955130084,15.864204058001633,16.382321144003072,2.0
mysql,1.0,13,120,1,1,197.13289929700116,1,1,0,0.0050727199953235,0.0050727199953235,1.0,197.09728246000304,197.09728246000304,197.09728246000304,197.09728246000304,,197.09728246000304,197.09728246000304,41.0
mysql,1.0,14,120,1,1,126.7048930460005,9,9,0,0.0710311952730391,0.0710311952730391,9.0,14.043946276000092,13.61710971300272,16.751820243198015,17.10011602463812,1.8158904113835954,11.9525212740009,17.187189969998144,1.0
mysql,1.0,15,120,1,1,121.7332909120014,2,2,0,0.016429359504014,0.016429359504014,2.0,0.009928569998010001,0.009928569998010001,0.01253266329658791,0.012764138256461503,0.004091937845037523,0.0070351329995901,0.0128220069964299,0.0
mysql,1.0,16,120,1,1,120.5577187969975,73,73,0,0.6055190885199303,0.6055190885199303,73.0,1.6184116471913637,1.4543358509981772,2.652352777598568,4.028459180359933,0.5375396081389068,1.33726453700001,4.462552282999241,18294.0
mysql,1.0,17,120,1,1,120.24540955500196,390,390,0,3.2433670561170853,3.2433670561170853,390.0,0.2768281154128672,0.2359323180025967,0.2975240461999419,1.2777359192306939,0.17186223584287627,0.2320073919981951,1.8609972440026468,1.0
mysql,1.0,18,120,1,1,124.08161480600027,8,8,0,0.0644736934839853,0.0644736934839853,8.0,15.473759521375086,15.43153031050133,15.79343182764842,15.846158527127955,0.2297856649321676,15.192681693999477,15.859340201997838,9.0
mysql,1.0,19,120,1,1,121.52894534799998,51,51,0,0.4196531110671678,0.4196531110671678,51.0,2.3501955993923924,2.2555358030003845,2.95808627650149,3.1771290480028256,0.24767728350295834,2.203413218998321,3.2344073330023093,1.0
mysql,1.0,20,120,1,1,124.35013053100192,10,10,0,0.0804180900920476,0.0804180900920476,10.0,12.40143206589928,12.305165683997984,12.91941764694766,13.052667675787488,0.30148042007058373,12.133233820000896,13.085980182997446,162.0
mysql,1.0,21,120,1,1,133.3400097019985,5,5,0,0.0374981223653312,0.0374981223653312,5.0,26.632065193000017,26.761245093999605,27.085318792000184,27.12665024320013,0.42452398492475035,26.17394096699718,27.13698310600012,377.0
mysql,1.0,22,120,1,1,120.0998436230002,895,895,0,7.452132933740136,7.452132933740136,895.0,0.10300638781558534,0.1003500209990306,0.10196567429848069,0.10907951780005505,0.03875227329544338,0.0988944290002109,0.776123040002858,3.0
oracle,1.0,1,120,1,1,120.0214183019998,517,0,517,0.0,0.0,,,,,,,,,
oracle,1.0,2,120,1,1,120.36222697800258,274,274,0,2.2764617013116277,2.2764617013116277,274.0,0.20473695558741817,0.20412281099925164,0.21032879024642162,0.22442381859895238,0.004792913718009411,0.1761364200065145,0.2365443910020985,446.0
oracle,1.0,3,120,1,1,122.27968098600104,49,49,0,0.4007207052299202,0.4007207052299202,49.0,2.264733957796273,2.191224419999344,3.6017322731975585,4.188023316042959,0.7227730188537214,1.340958431996114,4.66558579300181,11694.0
oracle,1.0,4,120,1,1,120.2499816519994,155,155,0,1.2889814856568238,1.2889814856568238,155.0,0.5529343507674639,0.5523068670008797,0.5589933502960776,0.5689327591207984,0.004232138780977901,0.5445449760009069,0.5755731169992941,5.0
oracle,1.0,5,120,1,1,122.89137780299644,33,33,0,0.2685298235723367,0.2685298235723367,33.0,3.489392035546409,3.4403237130027264,3.8889120457984974,3.9081282839589404,0.20475858862936094,3.147571544002858,3.908464690997789,5.0
oracle,1.0,6,120,1,1,120.25006312000188,202,202,0,1.6798327980785916,1.6798327980785916,202.0,0.36999132842102694,0.3694155134980974,0.37485336714707956,0.37980138162107324,0.0029316493932258427,0.3583884329927969,0.3879949220063281,1.0
oracle,1.0,7,120,1,1,120.18179461800172,541,0,541,0.0,0.0,,,,,,,,,
oracle,1.0,8,120,1,1,120.23745803700147,540,0,540,0.0,0.0,,,,,,,,,
oracle,1.0,9,120,1,1,120.07687556999736,542,0,542,0.0,0.0,,,,,,,,,
oracle,1.0,10,120,1,1,120.58594164900568,78,78,0,0.6468415715244628,0.6468415715244628,78.0,1.317067777935452,1.2271678834986233,1.8006668827012615,1.9112019075823634,0.259284210283423,1.0895162090018855,2.0514643729984527,38263.0
