run_id,timestamp_utc,experiment,dbms,sf,query_id,threads,iteration,wall_seconds,queries_submitted,queries_success,queries_error,throughput_qps,cache_before_ok,cache_before_error,cache_after_ok,cache_after_error
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,4,3,0.5569231470001341,4,4,0,7.18231953824508,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,4,4,0.5512166659998456,4,4,0,7.256674637629915,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,4,5,0.5656418890000623,4,4,0,7.071612053115747,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,8,1,0.8263219720001871,8,8,0,9.68145622539272,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,8,2,0.8364428989998487,8,8,0,9.564310976356854,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,8,3,0.8335924410000644,8,8,0,9.597016007489662,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,8,4,0.8218133660000149,8,8,0,9.73457031848744,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,8,5,0.8574401549999493,8,8,0,9.330097212440993,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,16,1,1.6115977740000744,16,16,0,9.928035554608094,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,16,2,1.6102580260001105,16,16,0,9.93629576232828,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,16,3,1.5839538279999488,16,16,0,10.101304543834543,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,16,4,1.6917870469999343,16,16,0,9.457455078860537,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,2,16,5,1.6012755550000293,16,16,0,9.992034131814188,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,1,1,0.4705591120000463,1,1,0,2.1251315180140464,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,1,2,0.46994666699993104,1,1,0,2.127901036906698,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,1,3,0.4631430800000089,1,1,0,2.1591599727669055,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,1,4,0.46358653399988725,1,1,0,2.1570945803189425,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,1,5,0.46493926900006954,1,1,0,2.1508185405605103,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,4,1,1.2365863210000043,4,4,0,3.2347115054331788,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,4,2,1.290883335999979,4,4,0,3.0986533704855765,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,4,3,1.2752093980000154,4,4,0,3.136739743506777,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,4,4,1.2461219920000985,4,4,0,3.209958596091998,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,4,5,1.3037780409999868,4,4,0,3.068006880168064,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,8,1,2.654992294000067,8,8,0,3.013191419831593,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,8,2,2.574347307999915,8,8,0,3.1075838039178296,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,8,3,2.59299014599992,8,8,0,3.085241188571893,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,8,4,2.6276317210001707,8,8,0,3.0445666856826166,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,8,5,2.593813166000018,8,8,0,3.084262237876213,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,16,1,4.71569950900016,16,16,0,3.3929218707560054,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,16,2,4.513292967000098,16,16,0,3.545083405173873,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,16,3,4.780532776999962,16,16,0,3.3469072897018917,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,16,4,4.642709299999979,16,16,0,3.4462635857903217,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,3,16,5,4.939887593000094,16,16,0,3.23894009707271,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,1,1,0.22584768499996244,1,1,0,4.427762896928371,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,1,2,0.22883405800007495,1,1,0,4.369978877880461,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,1,3,0.2302648519998911,1,1,0,4.3428251915775355,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,1,4,0.22785057500004768,1,1,0,4.388841239482458,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,1,5,0.22644832500009215,1,1,0,4.416018533144783,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,4,1,0.40751788200009287,4,4,0,9.81552019353862,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,4,2,0.3948250600001302,4,4,0,10.131069187955498,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,4,3,0.397204051000017,4,4,0,10.07039074734872,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,4,4,0.400378493000062,4,4,0,9.990546620093754,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,4,5,0.3982466690001729,4,4,0,10.044026256496482,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,8,1,0.6097450999998273,8,8,0,13.120236636591693,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,8,2,0.6168707580000046,8,8,0,12.968680872371552,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,8,3,0.6234058630000163,8,8,0,12.832731411125325,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,8,4,0.6461324059998788,8,8,0,12.381363209325707,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,8,5,0.7585617550000734,8,8,0,10.546273849515687,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,16,1,0.804611451000028,16,11,5,13.671194943010596,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,16,2,0.8009734350000599,16,11,5,13.733289419266667,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,16,3,0.7546410439999818,16,10,6,13.251333305428112,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,16,4,0.8003488560000278,16,11,5,13.744006651019212,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,4,16,5,0.808962891000192,16,11,5,13.59765710192186,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,1,1,0.4348601429999235,1,1,0,2.2995899166601155,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,1,2,0.4272921659999156,1,1,0,2.340319059348721,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,1,3,0.43423259399992276,1,1,0,2.30291326311672,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,1,4,0.42793319199995494,1,1,0,2.336813359408927,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,1,5,0.4280690660000346,1,1,0,2.336071628216927,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,4,1,0.8358918929998254,4,4,0,4.785307805348982,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,4,2,0.8341780749999543,4,4,0,4.795139215329076,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,4,3,0.8632665739999084,4,4,0,4.633562934640424,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,4,4,0.8354646390000653,4,4,0,4.7877549967733435,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,4,5,0.8437636329999805,4,4,0,4.740664142845432,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,8,1,1.499151480999899,8,8,0,5.336351997373999,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,8,2,1.379235989000108,8,8,0,5.8003126831106595,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,8,3,2.0902072259998477,8,8,0,3.8273717076895144,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,8,4,1.5684467989999575,8,8,0,5.1005874124011115,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,8,5,1.3625569230000565,8,8,0,5.871314339209936,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,16,1,2.6561197619998893,16,16,0,6.023824764570486,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,16,2,2.7312174109999887,16,16,0,5.858193469168707,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,16,3,2.295789257999786,16,16,0,6.96928080147045,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,16,4,2.3293258779999633,16,16,0,6.86894013032566,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,5,16,5,2.293039386999908,16,16,0,6.977638539795672,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,1,1,0.49188943200010726,1,1,0,2.0329771996398205,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,1,2,0.4937555589999647,1,1,0,2.0252936534534722,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,1,3,0.49676234000003205,1,1,0,2.013035046094548,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,1,4,0.4942798299998685,1,1,0,2.0231454720704787,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,1,5,0.49356636800007436,1,1,0,2.0260699772798323,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,4,1,1.256295782000052,4,4,0,3.1839635675858973,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,4,2,1.2625622169998678,4,4,0,3.1681607022146605,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,4,3,1.244209481000098,4,4,0,3.214892717892482,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,4,4,1.2962699059999068,4,4,0,3.085777106670166,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,4,5,1.3113567340001282,4,4,0,3.0502760204681336,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,8,1,0.7906359710000288,8,2,6,2.529609166997952,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,8,2,0.8089314499998181,8,2,6,2.47239738299265,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,8,3,1.6189674390000164,8,4,4,2.4707105922220833,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,8,4,1.6169842909998806,8,4,4,2.473740791585894,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,8,5,1.408645204999857,8,4,4,2.8396078627906918,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,16,1,1.1782069680000404,16,2,14,1.6974946289741613,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,16,2,1.2241149510000469,16,2,14,1.6338334879139331,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,16,3,1.5232489590000569,16,3,13,1.96947451188108,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,16,4,1.612151864999987,16,4,12,2.481155830812522,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,6,16,5,1.1741477739999482,16,2,14,1.7033631066612986,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,7,1,1,0.5160248699999102,1,1,0,1.9378910942803476,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,7,1,2,0.5060414950000904,1,1,0,1.9761225312161828,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,7,1,3,0.5084422130000803,1,1,0,1.966791848575016,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,7,1,4,0.5112242329998935,1,1,0,1.9560888069251763,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,7,1,5,0.5058707890000278,1,1,0,1.9767893733827455,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,7,4,1,1.0068760169999678,4,4,0,3.972683758938046,True,,True,
b90a0fca-21f6-4a08-beed-18b197a35c1e,2026-06-13T21:54:43.858880+00:00,speedup_concurrency,postgres,1.0,7,4,2,1.0090095569998994,4,4,0,3.9642835612907867,True,,True,
