dbms,sf,query_id,threads,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,1,1,5,19.098875920799763,19.105334292000407,19.156278821598608,19.166382293118442,0.04953112791027475,19.031265816000086,19.1689081609984,4.0
mysql,1.0,1,4,20,26.641628829799902,26.625984042500022,26.72586184094962,26.726110831389637,0.04446088626401271,26.605155256000216,26.72617307899964,4.0
mysql,1.0,1,8,40,37.353725223924904,37.373032513,37.413212148199634,37.414781865289896,0.06236708891211508,37.21621408399915,37.415676403999896,4.0
mysql,1.0,1,16,80,66.89161223010008,66.81999257299958,67.17303454294924,67.1938181065897,0.19117525499113636,66.57987517999936,67.21743632499965,4.0
mysql,1.0,2,1,5,0.19463247499988934,0.0848057169987441,0.5244699522001609,0.612153125640034,0.2456567457099395,0.0836355139999796,0.6340739190000022,446.0
mysql,1.0,2,4,20,0.2108880954499909,0.1720935254988944,0.3713270968014512,0.3742989369612587,0.0819629957499697,0.1668191560002014,0.3750418970012106,446.0
mysql,1.0,2,8,40,0.264759685349918,0.28281265300029185,0.3105771869009913,0.31211888611935135,0.044125426164690854,0.157342721000532,0.3122530819982785,446.0
mysql,1.0,2,16,80,0.53634084778746,0.5486254660008854,0.6240857212505944,0.6395461856789916,0.07848452761145538,0.1658575000001292,0.649401520999163,446.0
mysql,1.0,3,1,5,67.51630940019967,66.99233666299915,71.61189939499927,72.1040446133991,3.301515020113487,63.73500927399982,72.22708091799905,11694.0
mysql,1.0,3,4,20,67.92175842224988,67.2801647515007,70.06490897700033,70.06724292179986,1.1423974632343274,67.11497475899887,70.06782640799975,11694.0
mysql,1.0,3,8,40,68.49642948380001,68.7070389949995,68.80119328894898,68.8042882955891,0.32302978047004505,67.99687094600085,68.80604197699904,11694.0
mysql,1.0,3,16,80,75.84708766928752,75.6756265414997,76.45486025660094,76.47150636151926,0.4228864590614253,75.1571943630006,76.48207277899928,11694.0
mysql,1.0,4,1,5,8.80850642339974,8.762898425999083,8.92402461979982,8.942752343959945,0.08478477769386704,8.739535108001292,8.947434274999978,5.0
mysql,1.0,4,4,20,9.928410226249706,9.872529970499272,10.221917685300015,10.22233292346,0.16021785925399543,9.766434781999124,10.222436732999997,5.0
mysql,1.0,4,8,40,9.925780093375034,9.847338111499084,10.29615052419922,10.30279841393003,0.1835956085352005,9.776343311001256,10.30491069799973,5.0
mysql,1.0,4,16,80,10.85580444708753,10.876348929000415,10.942766750650298,10.95852983817942,0.07582409426579916,10.641331810000338,10.977674980998929,5.0
mysql,1.0,5,1,5,12.526522887399915,11.879797645999131,15.026353507800376,15.535459285560355,1.8240034763217687,11.123342933000458,15.66273573000035,5.0
mysql,1.0,5,4,20,12.984326334600246,12.951996240999506,13.268761499399897,13.270370455880894,0.15673728023257671,12.806238532999489,13.270772695001142,5.0
mysql,1.0,5,8,40,12.707604507925089,12.779119050499503,12.894715545900999,12.906555569100238,0.18274631397440552,12.35889525300081,12.907619999999952,5.0
mysql,1.0,5,16,80,13.571072318874917,13.512648842500312,13.769669482299651,13.793301494778898,0.1427955523868503,13.33610216299894,13.80435179199958,5.0
mysql,1.0,6,1,5,11.49389121799977,11.434439310000016,11.77495674919992,11.803528524239809,0.22549613845439748,11.263072768999336,11.810671467999782,1.0
mysql,1.0,6,4,20,13.299837202550043,13.217039836999902,13.668829123050546,13.66942370221028,0.1962901252466999,13.137283658999875,13.669572347000212,1.0
mysql,1.0,6,8,40,14.234420999574786,14.265194561000499,14.601940134900634,14.608775488930315,0.2749437603146233,13.862441002000196,14.609635639000771,1.0
mysql,1.0,6,16,80,16.89287861025007,16.89163699149958,16.96706880825086,16.985248702770058,0.047702178321437215,16.785148810000464,16.992719524998392,1.0
mysql,1.0,7,1,5,21.825895849000517,21.665646827001183,22.54740561059989,22.666860476519723,0.53578255627538,21.3954931390017,22.69672419299968,4.0
mysql,1.0,7,4,20,23.762402620399733,23.675128385499193,24.050053183999175,24.05099410959925,0.204939638196052,23.56392129699998,24.05122934099927,4.0
mysql,1.0,7,8,40,23.937704047650186,23.93722535449979,24.193306072950055,24.206194245440184,0.18421438248882022,23.629304137000872,24.20931752300021,4.0
mysql,1.0,7,16,80,26.094866317812535,26.16443083050035,26.300231006251032,26.309682369798864,0.16549092022619827,25.79988830900038,26.311549834999823,4.0
mysql,1.0,8,1,5,27.604456450399812,25.613765090000012,37.76132361759955,39.13335877951962,7.8250613945916845,19.93745335499989,39.47636756999964,2.0
mysql,1.0,8,4,20,21.29379624059993,20.91234700950008,22.620682574750752,22.622546470949672,0.710017379104861,20.756187037999556,22.623012444999404,2.0
mysql,1.0,8,8,40,19.633254078425033,19.663056682000388,20.850282012451043,20.859646780110033,1.0024137600498042,18.43480289999934,20.86286874600046,2.0
mysql,1.0,8,16,80,24.972255421562544,24.96452526449957,25.133725223148577,25.14498600163064,0.08946579281170014,24.819399672000145,25.164582507000887,2.0
mysql,1.0,9,1,5,107.52107005499965,107.47058956199908,111.18121640120043,111.6797454538405,3.118440777172526,103.30357483099942,111.80437771700052,175.0
mysql,1.0,9,4,20,114.31638536230021,113.59340819350018,116.5930269052499,116.59356599225035,1.3410338648052007,113.13699149400054,116.59370076400046,175.0
mysql,1.0,9,8,40,112.53647890217499,112.58622867949998,113.15756931334909,113.165358921049,0.37153506043261647,112.0912418020016,113.16836457499812,175.0
mysql,1.0,9,16,80,124.34183334321251,124.42811346050075,125.00202032100113,125.0271647755494,0.512972393065484,123.60884041600002,125.03883817499808,175.0
mysql,1.0,10,1,5,12.63933505980167,12.20174675599992,14.05240857740282,14.22843691068294,1.076975359505035,11.735202449002829,14.27244399400297,38263.0
mysql,1.0,10,4,20,22.43077043770081,21.65880540500075,25.33921832970045,25.34317558434057,2.6098490538415957,18.600206615999923,25.3441648980006,38263.0
mysql,1.0,10,8,40,46.95217482374992,47.135506627499126,49.30659580284955,49.32899454994935,1.865224924425497,43.584873333998985,49.34238492499935,38263.0
mysql,1.0,10,16,80,135.93407814608753,140.45090790700124,149.97855705765068,150.02251275154066,11.849239003254775,108.78938194799775,150.0403987259997,38263.0
mysql,1.0,11,1,5,5.937244672999805,6.183629414001189,7.576161394001247,7.69687384520148,1.6231737935733812,3.539642178999202,7.727051958001539,979.0
mysql,1.0,11,4,20,2.484621183049967,2.197135744001571,3.6274506834512064,3.6285361678904517,0.7259566639443787,1.7977504340015005,3.628807539000263,979.0
mysql,1.0,11,8,40,1.7822825577249204,1.7986666034994414,1.8476605394005674,1.8577735735991519,0.05619295782489621,1.6731779490000918,1.862816959997872,979.0
mysql,1.0,11,16,80,2.0256586105125733,2.041214051498173,2.1533657936506643,2.1920152738994876,0.08797617243018947,1.7516246870000032,2.1990875829978904,979.0
mysql,1.0,12,1,5,14.996714612000506,15.004721295001218,15.129875203200209,15.136907711840177,0.12317599603335756,14.864663522999765,15.138665839000168,2.0
mysql,1.0,12,4,20,17.614529451300587,17.654224130999864,17.787209987297683,17.788651605458146,0.17462627929002839,17.343120661000285,17.78901200999826,2.0
