run_id,timestamp_utc,experiment,dbms,sf,query_id,duration_seconds,threads,wall_seconds,executions,success,errors,throughput_qps
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,7,120,1,126.29774854800053,5,5,0,0.03958898759069888
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,8,120,1,151.10504123900319,3,3,0,0.019853738666831725
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,9,120,1,120.22826080000232,1,1,0,0.008317511983837836
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,10,120,1,128.19040494799992,10,10,0,0.07800895865846177
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,11,120,1,121.41846869599976,60,60,0,0.4941587605607544
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,12,120,1,124.44426807800482,8,8,0,0.06428580539350673
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,13,120,1,196.20829583700106,1,1,0,0.0050966244609287285
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,14,120,1,124.70711456199933,9,9,0,0.07216909822354653
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,15,120,1,174.58068532700418,3,3,0,0.017184031523193703
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,16,120,1,120.00390823099588,69,69,0,0.5749812736697016
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,17,120,1,120.09972954099794,381,381,0,3.1723635136908417
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,18,120,1,133.48507883300044,9,9,0,0.06742326617089282
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,19,120,1,121.00584127100592,48,48,0,0.3966750654003447
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,20,120,1,130.39935664399673,10,10,0,0.07668749491840669
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,21,120,1,128.61371319799946,5,5,0,0.038876103299362426
b54138a9-6563-462b-8b53-ec465d42a5dd,2026-06-13T10:57:31.274237+00:00,throughput_all_queries_fixed_time,mysql,1.0,22,120,1,120.10006384799635,887,887,0,7.385508146961722
