dbms,sf,query_id,duration_seconds,threads,repetitions,mean_wall_s,total_executions,total_success,total_errors,mean_throughput_qps,median_throughput_qps,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,1,120,1,1,120.4260545770012,6,6,0,0.0498231053161636,0.0498231053161636,6.0,20.036651879334386,20.073169203500584,20.220404342750044,20.243273555749692,0.17134395417308695,19.75572153500252,20.248990858999605,4.0
mysql,1.0,2,120,1,1,120.0549149110011,1024,1024,0,8.529430059228394,8.529430059228394,1024.0,0.08319643989266719,0.08236064700031415,0.08390793189719255,0.08729814411824911,0.01908587228814999,0.08117290300288,0.6885384780034656,446.0
mysql,1.0,3,120,1,1,157.26314649699634,2,2,0,0.0127175377356334,0.0127175377356334,2.0,78.59764921449823,78.59764921449823,79.40316478494788,79.47476616898784,1.2657456049250946,77.70263191399863,79.49266651499784,11694.0
mysql,1.0,4,120,1,1,124.5606072859955,13,13,0,0.104366864318119,0.104366864318119,13.0,9.545839861539067,9.563195972004904,9.900334236001072,9.922291895996022,0.23420217162063106,9.23149484700116,9.92778131099476,5.0
mysql,1.0,5,120,1,1,126.7742258510043,9,9,0,0.0709923483230538,0.0709923483230538,9.0,14.006206662888063,13.512838435999583,16.80003671519953,17.65001490144088,1.7265888344997928,12.375961233999988,17.86250944800122,5.0
mysql,1.0,6,120,1,1,130.81975803900423,11,11,0,0.0840851578147723,0.0840851578147723,11.0,11.857022646818553,11.778086169004382,12.220178771000064,12.228558746199997,0.2624625713375379,11.455981712999346,12.23065373999998,1.0
mysql,1.0,7,120,1,1,126.29774854800053,5,5,0,0.0395889875906988,0.0395889875906988,5.0,25.222463304598932,24.976170974005072,25.96595504079887,26.011277617759188,0.6248475759850788,24.585980277995983,26.022608261999267,4.0
mysql,1.0,8,120,1,1,151.1050412390032,3,3,0,0.0198537386668317,0.0198537386668317,3.0,50.3310308109964,49.06203191599343,62.23907770520164,63.41037066424237,12.784985091608437,38.22786661299324,63.70319390400255,2.0
mysql,1.0,9,120,1,1,120.22826080000232,1,1,0,0.0083175119838378,0.0083175119838378,1.0,120.1911511510043,120.1911511510043,120.1911511510043,120.1911511510043,,120.1911511510043,120.1911511510043,175.0
mysql,1.0,10,120,1,1,128.19040494799992,10,10,0,0.0780089586584617,0.0780089586584617,10.0,12.776561698000297,12.629678927500208,13.763588080151749,13.985491559229194,0.6269619440448677,12.011380314994312,14.040967428998556,38263.0
mysql,1.0,11,120,1,1,121.41846869599976,60,60,0,0.4941587605607544,0.4941587605607544,60.0,1.9867187962998287,1.530216217499401,4.840764247500552,7.853842575641317,1.3905020653737301,1.4367142109986162,8.363920765004877,979.0
mysql,1.0,12,120,1,1,124.44426807800482,8,8,0,0.0642858053935067,0.0642858053935067,8.0,15.519195315249817,15.487139739001577,15.732840502948239,15.738188957386738,0.17836722629578078,15.316497805004474,15.739526070996362,2.0
mysql,1.0,13,120,1,1,196.20829583700103,1,1,0,0.0050966244609287,0.0050966244609287,1.0,196.171812599001,196.171812599001,196.171812599001,196.171812599001,,196.171812599001,196.171812599001,41.0
mysql,1.0,14,120,1,1,124.70711456199932,9,9,0,0.0721690982235465,0.0721690982235465,9.0,13.820574818333423,13.186290122001084,16.710576911801763,17.12375214156258,1.9528227831920117,11.784037744997477,17.227045949002786,1.0
mysql,1.0,15,120,1,1,174.58068532700418,3,3,0,0.0171840315231937,0.0171840315231937,3.0,0.015391815002658333,0.0098849460046039,0.02626314420194827,0.027718984041712216,0.011022793502374388,0.0082075550017179,0.0280829440016532,0.0
mysql,1.0,16,120,1,1,120.00390823099588,69,69,0,0.5749812736697016,0.5749812736697016,69.0,1.7048772048406333,1.4657133470027477,3.400300376600351,4.758769566757834,0.7265749148510747,1.38159903199994,5.111844924998877,18294.0
mysql,1.0,17,120,1,1,120.09972954099794,381,381,0,3.1723635136908417,3.1723635136908417,381.0,0.2818863647296898,0.2399103099960484,0.2985953719980898,1.3874714758028837,0.1829742114523524,0.2328634000004967,1.832069636002416,1.0
mysql,1.0,18,120,1,1,133.48507883300044,9,9,0,0.0674232661708928,0.0674232661708928,9.0,14.795876657889393,14.83822870899894,14.982681996600878,14.987343953719538,0.13513713941351205,14.629965530002664,14.988509442999202,9.0
mysql,1.0,19,120,1,1,121.00584127100592,48,48,0,0.3966750654003447,0.3966750654003447,48.0,2.484964052604331,2.3694993875033106,3.16194841635006,3.392571735710008,0.27501548002927795,2.2865193610050483,3.4740497640013928,1.0
mysql,1.0,20,120,1,1,130.39935664399673,10,10,0,0.0766874949184066,0.0766874949184066,10.0,13.002812578200974,12.950486303499929,13.500954288349023,13.581461504864276,0.34026641255816414,12.546865416996296,13.601588308993088,162.0
mysql,1.0,21,120,1,1,128.61371319799946,5,5,0,0.0388761032993624,0.0388761032993624,5.0,25.685902998001257,25.686768479004968,25.822661312400307,25.824455708879686,0.15190839634599465,25.450012519002485,25.82490430799953,377.0
mysql,1.0,22,120,1,1,120.10006384799637,887,887,0,7.385508146961722,7.385508146961722,887.0,0.10236010011503244,0.0996452079998562,0.10092416810148278,0.10827780107967548,0.03856106342115682,0.0985477129943319,0.7566232320023119,3.0
postgres,1.0,1,120,1,1,121.65542204200028,47,47,0,0.3863370757431077,0.3863370757431077,47.0,2.5584549394673344,2.549614979994658,2.5817916936000986,2.5987137297399747,0.015533605857003615,2.541564177998225,2.607916549997753,4.0
postgres,1.0,2,120,1,1,120.15372574599314,383,383,0,3.1875832199300085,3.1875832199300085,383.0,0.28397426007570986,0.2832211950008059,0.2898498733949964,0.30107520259538434,0.0041935424398706,0.2788446790000307,0.32960817500134,446.0
postgres,1.0,3,120,1,1,120.06949503299984,244,244,0,2.0321564601645004,2.0321564601645004,244.0,0.4618870113770784,0.46126457549689803,0.46832668835086216,0.48423768677159384,0.005204543468768102,0.4552493360024527,0.4877098130018567,11694.0
postgres,1.0,4,120,1,1,120.09218607300136,473,473,0,3.9386409346605937,3.9386409346605937,473.0,0.22474927655592555,0.2242668059989228,0.22722640379943182,0.24321864292054665,0.0033822477619781764,0.2101593010011129,0.2498762120012543,5.0
postgres,1.0,5,120,1,1,120.1775576209984,264,264,0,2.196749586412561,2.196749586412561,264.0,0.42561684399259486,0.4245748725006706,0.4411661015506979,0.4465310341066651,0.006033711347097607,0.4163442680001026,0.455087974005437,5.0
