dbms,sf,query_id,threads,repetitions,mean_wall_s,median_wall_s,p95_wall_s,p99_wall_s,mean_throughput_qps,median_throughput_qps,total_success,total_errors,cache_before_failures,cache_after_failures,wall_speedup,throughput_speedup,efficiency,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,10.0,1,1,20,21.685691571299685,21.636706752993632,21.928252496171627,22.144347448064362,0.046116308483600106,0.0462177567947507,20,0,0,0,1.0,1.0,1.0,20,21.67346579709847,21.62486519649974,21.916194668484966,22.13138335612195,0.17889256299065187,21.479720718984023,22.1851805280312,4.0
mysql,10.0,1,4,20,29.57792215104564,29.220056787511567,32.11506822743395,32.2408494342881,0.13534817705619248,0.13689227337749155,80,0,0,0,0.7331715683257707,2.9349308630009934,0.7337327157502483,80,29.554163886939932,29.197611004521605,32.08209331918333,32.24653051987465,0.8857561321394816,29.0727879810147,32.24897266901098,4.0
mysql,10.0,1,8,20,39.27293869529676,39.23879131450667,39.67543676041241,39.715610016858555,0.2037080532292288,0.2038798783987087,160,0,0,0,0.5521789886809951,4.417267121492856,0.552158390186607,160,39.23026365577571,39.19405351500609,39.64382745336043,39.691000457931075,0.20405400573440588,38.96102222899208,39.70037631300511,4.0
mysql,10.0,1,16,20,68.50123656750365,68.51174153850297,68.95329421860224,69.0755560509098,0.2335755656167641,0.23353673323973284,320,0,0,0,0.3165737241827715,5.064923305815519,0.31655770661346994,320,68.39227330310678,68.39300863601966,68.90019708510081,69.02045351962792,0.25921097600136755,67.93277499801479,69.0519993310445,4.0
mysql,10.0,2,1,20,0.14211595199594734,0.09578293148661025,0.3456988711724992,0.6969003454293119,9.561609141433625,10.440333745465196,20,0,0,0,1.0,1.0,1.0,20,0.13065430995484345,0.08438483797363,0.3340404318238146,0.6852614327438635,0.15942060504171482,0.0834380010492168,0.7730666829738766,446.0
mysql,10.0,2,4,20,0.1950860561919398,0.19497358100488782,0.19872343097522385,0.2054140910034766,20.510217452683698,20.515610262691766,80,0,0,0,0.7284782663099374,2.145059178774221,0.5362647946935553,80,0.17261423781310437,0.17279067251365632,0.17707195454568136,0.17986560562218065,0.0036923786042484816,0.1612034770078025,0.1859884579898789,446.0
mysql,10.0,2,8,20,0.36561837409972214,0.36194909550249577,0.3933000179909868,0.3989495844015618,21.905819021709835,22.102558702846498,160,0,0,0,0.38870024611286447,2.291018038667221,0.28637725483340265,160,0.2908153486805531,0.2963815715338569,0.34471283080929416,0.35528798600018485,0.03909958451592317,0.1542910700081847,0.3569165989756584,446.0
mysql,10.0,2,16,20,0.7200781536492287,0.7152058729843702,0.7478529308456928,0.765541472574696,22.232501550153998,22.371196803954277,320,0,0,0,0.19736184367728538,2.325184100426485,0.14532400627665532,320,0.5618652076154831,0.5747080180153716,0.6422122366231633,0.6758302557235584,0.06795088626024565,0.2357471430441364,0.6933833580114879,446.0
mysql,10.0,3,1,20,74.98561067664704,73.21004672549316,83.47001125401876,84.75745456757781,0.013369454216654789,0.0136593452278337,20,0,0,0,1.0,1.0,1.0,20,74.97348066904814,73.19784651900409,83.45781583135249,84.7455768918735,3.9818940979870208,70.88276967901038,85.06751715700375,11694.0
mysql,10.0,3,4,20,78.09235087170092,78.12502330800635,78.87688374189602,79.93317411797295,0.05122738976413327,0.05119998481108605,80,0,0,0,0.9602170998775797,3.831673973670335,0.9579184934175837,80,78.06500284139038,78.09942928052624,78.85956677234499,80.17595649851428,0.8511411264966753,76.5633836070192,80.17654194700299,11694.0
mysql,10.0,3,8,20,79.50434135580144,79.33663270052057,80.79946597310773,81.12533327223558,0.1006293993187742,0.10083617239636064,160,0,0,0,0.9431637241175048,7.526814310296728,0.940851788787091,160,79.438914402722,79.26432335400023,80.7643204881897,81.16395563626138,0.6152421316661376,78.709475820011,81.17113278800389,11694.0
mysql,10.0,3,16,20,87.46049638230761,87.2253271160007,88.46300866138482,90.366763158674,0.18296300952954697,0.183432964461672,320,0,0,0,0.8573654824558701,13.685151732044803,0.8553219832528002,320,87.31979842712335,87.10772476097918,88.40735347629236,90.74066980509555,0.9996331024432964,85.73791867995169,90.77143902197712,11694.0
mysql,10.0,4,1,20,11.168770353746368,11.17422183250892,11.338060577772557,11.34872655154206,0.08954647936935184,0.0894919938961399,20,0,0,0,1.0,1.0,1.0,20,11.156912723500863,11.162646284501534,11.326343773450935,11.337031767481239,0.12726531816654818,10.87280735099921,11.339703765988816,5.0
mysql,10.0,4,4,20,12.04891100259847,12.042902447516099,12.219359221708144,12.231961187548587,0.33199350743539424,0.33214602376228897,80,0,0,0,0.9269526807308734,3.707499276057773,0.9268748190144432,80,12.026854782203008,12.021553334983764,12.197979140651297,12.215479744681506,0.07708639425740141,11.930049346003216,12.216006459027994,5.0
mysql,10.0,4,8,20,12.864166538897553,12.627247069001896,14.052727385243635,15.254435665031195,0.6236120849636453,0.6335508379523195,160,0,0,0,0.8682078485205557,6.964116170234188,0.8705145212792735,160,12.820735423076258,12.583201214525616,14.021589133646895,15.523276748395874,0.7275976585509636,12.135950870986562,15.529424009961076,5.0
mysql,10.0,4,16,20,13.550210142048309,13.476241502998164,13.985258305337629,14.187132763468544,1.1810686407183808,1.1872747082719122,320,0,0,0,0.8242507117353124,13.189448083679917,0.8243405052299948,320,13.45479121504377,13.387255961482879,13.943075913441138,14.170748921106568,0.2161947712930575,13.15561392204836,14.200161857006606,5.0
mysql,10.0,5,1,20,14.69406833865214,14.335701839474496,17.804297292575942,19.57348748491495,0.0688649398997154,0.0697566798990988,20,0,0,0,1.0,1.0,1.0,20,14.682269551698118,14.323938606510637,17.792726487320035,19.561226231079196,1.759851175594396,12.188516281021291,20.00335116701899,5.0
