dbms,sf,query_id,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows,attempts,errors,cache_before_failures,cache_after_failures
oracle,10.0,1,10.0,1.8883586173004006,1.8818904170184398,1.9242529661773005,1.9357100644597083,0.021009002284145366,1.8652891519595869,1.9385743390303103,4.0,10,0,0,0
oracle,10.0,2,10.0,0.14560820399201474,0.1414994264778215,0.16352453701256303,0.17371801620174662,0.011094255605743238,0.1395482210209593,0.1762663859990425,508.0,10,0,0,0
oracle,10.0,3,10.0,2.138049712899374,2.150039057509275,2.1976941385422832,2.1995996333030052,0.049163984324702384,2.0569604539778084,2.2000760069931857,11349.0,10,0,0,0
oracle,10.0,4,10.0,0.5536739195929841,0.5544128904875834,0.5588336428772891,0.5597815509448992,0.004293646734503077,0.5466148640261963,0.5600185279618017,5.0,10,0,0,0
oracle,10.0,5,10.0,2.0341104744002223,1.9033439524937426,2.400190973258577,2.4117488722456617,0.23647486663467862,1.856824277958367,2.414638346992433,5.0,10,0,0,0
oracle,10.0,6,10.0,0.3648873025027569,0.36595508051686915,0.3715420789289055,0.37180535737832543,0.006035563647419005,0.351918114,0.3718711769906804,1.0,10,0,0,0
oracle,10.0,7,,,,,,,,,,10,10,0,0
oracle,10.0,8,10.0,0.5967207291047089,0.5923765030165669,0.618342980867601,0.6186489905946655,0.01174917654266199,0.586435041972436,0.6187254930264316,2.0,10,0,0,0
oracle,10.0,9,10.0,1.1438635756028817,1.1447153785265982,1.1689860185899306,1.1775813901016954,0.018577604523105726,1.1102480359841138,1.1797302329796366,175.0,10,0,0,0
oracle,10.0,10,10.0,1.4962199717003386,1.4902480604650918,1.5619109088118421,1.57438574976346,0.04376728373242891,1.430164079007227,1.5775044600013644,37618.0,10,0,0,0
oracle,10.0,11,10.0,0.20638102820958007,0.20547610800713295,0.21250578561739522,0.21329488113697145,0.0035541306836854416,0.202536940050777,0.2134921550168655,911.0,10,0,0,0
oracle,10.0,12,10.0,1.3960093020112254,1.3754810985410586,1.4870170125825097,1.5225187009497314,0.055698150376679426,1.3442694559926167,1.5313941230415369,2.0,10,0,0,0
oracle,10.0,13,10.0,0.7078696922864764,0.7053834534890484,0.7186317171464907,0.7215268418198684,0.006271680112309192,0.701757064962294,0.7222506229882129,42.0,10,0,0,0
oracle,10.0,14,10.0,0.4488009533029981,0.44413086099666543,0.4728619148547295,0.4871379045688082,0.014990866227723965,0.4408517880365252,0.4907069019973278,1.0,10,0,0,0
oracle,10.0,15,10.0,0.39594155109953133,0.3954135930107441,0.4035077501379419,0.4054705396073405,0.004745153749450745,0.3903365899459459,0.4059612369746901,1.0,10,0,0,0
oracle,10.0,16,10.0,0.3367536891950294,0.33141605896526016,0.3616104315005941,0.36804614067950747,0.015282042365187534,0.3235838040127419,0.3696550679742358,18284.0,10,0,0,0
oracle,10.0,17,10.0,0.1672510273114312,0.16222901202854695,0.18629797150206284,0.19628037190588657,0.011701717815555571,0.1594908410334028,0.1987759720068425,1.0,10,0,0,0
oracle,10.0,18,10.0,0.8499057806795463,0.8478104439855088,0.8768914420506917,0.8850975524052046,0.01813316801242286,0.82280326198088,0.8871490799938329,9.0,10,0,0,0
oracle,10.0,19,10.0,0.27661948909517375,0.26591265646857204,0.3283220629818969,0.3465087085991399,0.029033206223882304,0.2583744340226985,0.3510553700034506,1.0,10,0,0,0
oracle,10.0,20,10.0,1.3849905818060506,1.3728169054957107,1.4378333124128402,1.461997127296054,0.03205848453087569,1.363301386998501,1.4680380810168572,184.0,10,0,0,0
oracle,10.0,21,10.0,1.5422251792042516,1.5449135125090834,1.5639519632590235,1.566740773465135,0.016415110959808053,1.5180216419976205,1.567437976016663,411.0,10,0,0,0
oracle,10.0,22,10.0,0.20916795759694645,0.20840733649674797,0.21356843083049168,0.21401746132760305,0.002923035957627764,0.2053372520022094,0.2141297189518809,3.0,10,0,0,0
sqlserver,10.0,1,10.0,3.267355119786225,3.26489854947431,3.2900750325003174,3.293193233710481,0.018161531565789854,3.2438879529945552,3.2939727840130217,4.0,10,0,0,0
