dbms,sf,query_id,threads,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
oracle,10.0,1,1,10,0.009898975008400122,0.00990587347769175,0.00999122122302649,0.009992108279839138,6.654433814292537e-05,0.0098042209865525,0.0099923300440423,1.0
oracle,10.0,1,4,40,0.005308236148266545,0.0015367250016424501,0.013766353961545947,0.014375551943667218,0.005492485731808891,0.0002009349991567,0.0144139879848808,1.0
oracle,10.0,1,8,80,0.008294921516062408,0.0117944114899728,0.01391094219870859,0.014421711026807291,0.005764934401281929,0.000217295018956,0.0147812550421804,1.0
oracle,10.0,1,16,160,0.013314229801107963,0.0143579405266791,0.017244767854572237,0.01869176695588972,0.004049323697851535,0.0002407389692962,0.0205932779936119,1.0
oracle,10.0,2,1,10,0.00993601490627038,0.00996241901884785,0.010035418297047684,0.010040460451855296,9.215317072027786e-05,0.0097382870153523,0.0100417209905572,1.0
oracle,10.0,2,4,40,0.00694650067889592,0.0107332285260781,0.012111083589843419,0.01232246986823153,0.005036292849540728,0.0002211420214734,0.012430096976459,1.0
oracle,10.0,2,8,80,0.008857314435590471,0.011956650996580699,0.016732830903492774,0.017082833201857207,0.006472665948477318,0.0002343870000913,0.0182010490098036,1.0
oracle,10.0,2,16,160,0.013847239662572928,0.014271839987486601,0.01885393442353226,0.023726378417923036,0.005083484963495212,0.0002883680281229,0.0508962630410678,1.0
oracle,10.0,3,1,10,0.01023341011023144,0.00992012050119225,0.01153147441509643,0.011835720505914646,0.0006978830827238812,0.0097823579562827,0.0119117820286192,1.0
oracle,10.0,3,4,40,0.005594893927627662,0.00121494699851605,0.01438468379783441,0.014574877612176339,0.005876655206990355,0.0001947130076587,0.0146589070209302,1.0
oracle,10.0,3,8,80,0.008445762459450588,0.0113688735000323,0.01445952847716395,0.014808862332138156,0.005776966971579767,0.0001997830113396,0.0158464420237578,1.0
oracle,10.0,3,16,160,0.01301977146868007,0.01384396551293315,0.0197191746614407,0.020899928681901592,0.004674474791911792,0.0002870460157282,0.0221684539574198,1.0
oracle,10.0,4,1,10,0.00994692709646182,0.0099298584973439,0.010197097298805524,0.010300613865838306,0.00016205135225128703,0.0097547770128585,0.0103264930075965,1.0
oracle,10.0,4,4,40,0.0052420631225686,0.0022596150229218497,0.012054390201228605,0.012241646708571289,0.005247639234890608,0.0001945829717442,0.0123340580030344,1.0
oracle,10.0,4,8,80,0.009112068275135193,0.0120898195018526,0.014660198052297294,0.02313542740594106,0.007402307106327918,0.0002207710058428,0.0507682070019654,1.0
oracle,10.0,4,16,160,0.013839654673574791,0.014812686480581701,0.02058521433209534,0.02373851249983995,0.005031507974384162,0.0002318919869139,0.0248977440060116,1.0
oracle,10.0,5,1,10,0.00993099810439156,0.00994459551293395,0.010045767144765645,0.01005606783321121,8.112121104510638e-05,0.0098260290105827,0.0100586430053226,1.0
oracle,10.0,5,4,40,0.005866753451118665,0.00726068951189515,0.012295442126924095,0.01266502497426693,0.005403676864260657,0.0002021670225076,0.0128527850029058,1.0
