dbms,sf,sequential_queries,sequential_mean_latency_s,sequential_median_latency_s,sequential_p95_latency_s,sequential_errors,q1_fixed_time_success,q1_fixed_time_mean_throughput_qps
mysql,10.0,440,29.07535272336999,15.266597591762547,31.68944488365656,0,2543,0.9595210228526319
oracle,10.0,440,1.0414871575970954,0.6296192374866223,1.0833591042798203,0,2932,1.1073600142251099
postgres,10.0,440,0.7798113969364997,0.5546945335081546,0.8000045870824996,0,8210,3.1050290863256707
sqlserver,10.0,440,2.8318492138655116,3.2974495584785473,2.855761586623504,0,1949,0.7352047147801909
