run_id,timestamp_utc,experiment,dbms,sf,query_id,iteration,success,elapsed_seconds,row_count,cache_before_ok,cache_before_error,cache_after_ok,cache_after_error,error
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,10,2,True,4.204227660025936,37859,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,11,2,True,0.6608086850028485,22489,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,12,2,True,3.9848631150089204,2,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,13,2,True,0.7546807460021228,42,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,14,2,True,3.3451715080300346,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,15,2,True,3.3152168469969183,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,16,2,True,0.3747581399511546,18302,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,17,2,True,1.3773746380466036,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,18,2,True,3.3232421999564394,9,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,19,2,True,3.3815034750150517,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,20,2,True,2.708116129040718,171,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,21,2,True,5.408190274960361,415,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,22,2,True,0.1809670419897884,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,1,3,True,3.2939727840130217,4,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,2,3,True,0.3847343330271542,468,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,3,3,True,4.211866105964873,11507,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,4,3,True,3.972979857993778,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,5,3,True,3.48066863900749,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,6,3,True,3.2584751439862885,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,7,3,True,2.532277474005241,4,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,8,3,True,1.6043719599838369,2,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,9,3,True,4.356456017005257,175,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,10,3,True,4.208763656031806,37859,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,11,3,True,0.6800951699842699,22489,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,12,3,True,3.9797725119860843,2,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,13,3,True,0.7110020139953122,42,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,14,3,True,3.347507327038329,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,15,3,True,3.305801381007768,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,16,3,True,0.37962797697400674,18302,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,17,3,True,1.4190506719751284,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,18,3,True,3.361351882980671,9,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,19,3,True,3.347660578030627,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,20,3,True,2.6661507450044155,171,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,21,3,True,5.442626544041559,415,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,22,3,True,0.19958374701673165,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,1,4,True,3.2549530179821886,4,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,2,4,True,0.3920593879884109,468,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,3,4,True,4.213508958986495,11507,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,4,4,True,3.9810212359880097,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,5,4,True,3.462573726021219,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,6,4,True,3.231198180001229,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,7,4,True,2.6035969250369817,4,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,8,4,True,1.5919022210291587,2,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,9,4,True,4.403968125989195,175,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,10,4,True,4.237236840010155,37859,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,11,4,True,0.6431672559701838,22489,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,12,4,True,4.0130948789883405,2,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,13,4,True,0.7800128570524976,42,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,14,4,True,3.436252832005266,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,15,4,True,3.317605998017825,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,16,4,True,0.4627597230137326,18302,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,17,4,True,1.4681526349741034,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,18,4,True,3.336816946975887,9,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,19,4,True,3.384232065989636,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,20,4,True,2.658815449976828,171,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,21,4,True,5.438211475964636,415,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,22,4,True,0.19101293402491137,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,1,5,True,3.251625222968869,4,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,2,5,True,0.38572933699470013,468,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,3,5,True,4.212698196992278,11507,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,4,5,True,3.9707585080177523,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,5,5,True,3.454361381009221,5,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,6,5,True,3.2590403770445846,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,7,5,True,2.5344655719818547,4,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,8,5,True,1.5836883050506003,2,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,9,5,True,4.364470671047457,175,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,10,5,True,4.190301413007546,37859,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,11,5,True,0.6852399280178361,22489,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,12,5,True,3.9903255610261112,2,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,13,5,True,0.7449813549756072,42,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,14,5,True,3.3709801849909127,1,True,,True,,
377ee1fa-4259-4b37-a958-007bab1fccf2,2026-06-17T02:56:33.637460+00:00,sequential_latency,sqlserver,10.0,15,5,True,3.2843372069764882,1,True,,True,,
