dbms,sf,sequential_queries,sequential_mean_latency_s,sequential_median_latency_s,sequential_p95_latency_s,sequential_errors,q1_fixed_time_success,q1_fixed_time_mean_throughput_qps
oracle,10.0,210.0,0.870638511375901,0.5923765030165669,0.9156322876163314,10,2951,1.1133150636118705
sqlserver,10.0,220.0,2.7351810061259045,3.272418386724894,2.772833096916491,0,1968,0.7429272494254882
