dbms,sf,threads,mean_throughput_speedup,mean_efficiency,mean_throughput_qps
oracle,10.0,1,1.0,1.0,1.3957131530493045
oracle,10.0,4,2.0352407543824205,0.5088101885956051,3.538935616140373
oracle,10.0,8,2.3051250100264773,0.28814062625330966,4.4440427789011885
oracle,10.0,16,2.5656642312198708,0.16035401445124192,5.124960750350372
sqlserver,10.0,1,1.0,1.0,0.8391697131230658
sqlserver,10.0,4,3.0495182762167414,0.7623795690541854,1.9047267344209693
sqlserver,10.0,8,4.9040218339870645,0.6130027292483831,2.6264748257579815
sqlserver,10.0,16,6.663109123585545,0.41644432022409655,3.3062702423443326
